0,1.20e-01,1.19e-01,9.38e-01,9.20e-01,2.66e+01,2.83e+01,1.10e-01,1.09e-01,9.21e-01,9.10e-01,2.69e+01,2.85e+01
0.5,9.07e-02,8.83e-02,7.93e-01,8.15e-01,2.43e+01,2.59e+01,8.77e-02,8.73e-02,7.98e-01,8.14e-01,2.47e+01,2.67e+01
1,6.13e-02,5.97e-02,6.81e-01,6.98e-01,2.17e+01,2.31e+01,5.49e-02,5.67e-02,6.93e-01,6.99e-01,2.30e+01,2.33e+01
1.5,3.29e-02,3.35e-02,4.86e-01,5.26e-01,1.77e+01,1.86e+01,1.98e-02,2.45e-02,4.81e-01,5.20e-01,1.79e+01,1.85e+01
2,1.72e-02,1.68e-02,3.15e-01,3.53e-01,1.31e+01,1.39e+01,1.32e-02,1.48e-02,3.02e-01,3.38e-01,1.28e+01,1.34e+01
2.5,8.24e-03,8.45e-03,2.03e-01,2.18e-01,9.30e+00,9.76e+00,7.84e-03,8.05e-03,1.49e-01,1.83e-01,9.19e+00,9.65e+00
3,2.84e-03,3.28e-03,7.70e-02,1.09e-01,5.12e+00,6.01e+00,2.14e-03,2.38e-03,6.98e-02,8.79e-02,5.34e+00,6.04e+00
3.5,1.30e-03,1.23e-03,5.40e-02,5.40e-02,3.90e+00,3.91e+00,8.94e-04,8.99e-04,4.60e-02,5.11e-02,3.98e+00,4.03e+00
4,4.17e-04,4.24e-04,2.15e-02,2.45e-02,2.45e+00,2.56e+00,3.31e-04,3.44e-04,1.64e-02,2.04e-02,2.51e+00,2.50e+00
4.5,1.42e-04,2.08e-04,8.00e-03,1.35e-02,1.58e+00,1.72e+00,1.18e-04,1.78e-04,7.08e-03,1.30e-02,1.62e+00,1.74e+00
5,6.83e-05,6.94e-05,4.50e-03,4.50e-03,1.13e+00,1.13e+00,6.71e-05,6.94e-05,4.50e-03,4.50e-03,1.13e+00,1.13e+00
